0:0:0:0:0:0:0:1 - - [08/May/2020:17:31:26 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [08/May/2020:17:31:44 +0100] "GET /backoffice/prive/ajouterbien HTTP/1.1" 200 23372
0:0:0:0:0:0:0:1 - - [08/May/2020:17:31:44 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [08/May/2020:17:32:59 +0100] "GET /backoffice/prive/ajouterbien HTTP/1.1" 200 23358
0:0:0:0:0:0:0:1 - - [08/May/2020:17:32:59 +0100] "GET /backoffice/jquery-3.4.1.js HTTP/1.1" 200 290960
0:0:0:0:0:0:0:1 - - [08/May/2020:17:33:00 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [08/May/2020:17:33:57 +0100] "GET /backoffice/prive/chercherprop HTTP/1.1" 200 7724
0:0:0:0:0:0:0:1 - - [08/May/2020:17:34:05 +0100] "GET /backoffice/prive/ajouterbien HTTP/1.1" 200 23358
0:0:0:0:0:0:0:1 - - [08/May/2020:17:40:58 +0100] "POST /backoffice/prive/ajouterbien HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2020:17:40:58 +0100] "GET /backoffice/prive/chercherbien HTTP/1.1" 200 9804
0:0:0:0:0:0:0:1 - - [08/May/2020:17:42:07 +0100] "GET /backoffice/descriptifbien?identifiant=2 HTTP/1.1" 200 5586
0:0:0:0:0:0:0:1 - - [08/May/2020:17:42:10 +0100] "GET /backoffice/prive/chercherbien HTTP/1.1" 200 9804
0:0:0:0:0:0:0:1 - - [08/May/2020:17:42:59 +0100] "POST /backoffice/prive/chercherbien HTTP/1.1" 200 9504
0:0:0:0:0:0:0:1 - - [08/May/2020:17:43:01 +0100] "POST /backoffice/prive/chercherbien HTTP/1.1" 200 9804
0:0:0:0:0:0:0:1 - - [08/May/2020:17:44:47 +0100] "POST /backoffice/prive/chercherbien HTTP/1.1" 200 9804
0:0:0:0:0:0:0:1 - - [08/May/2020:17:44:48 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [08/May/2020:17:45:14 +0100] "POST /backoffice/prive/chercherbien HTTP/1.1" 200 9804
0:0:0:0:0:0:0:1 - - [08/May/2020:17:45:15 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [08/May/2020:17:45:26 +0100] "POST /backoffice/prive/chercherbien HTTP/1.1" 200 9804
0:0:0:0:0:0:0:1 - - [08/May/2020:17:45:26 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [08/May/2020:17:46:08 +0100] "POST /backoffice/prive/chercherbien HTTP/1.1" 200 9504
