127.0.0.1 - - [25/Mar/2020:21:56:07 +0100] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:56:08 +0100] "GET /frontoffice/ HTTP/1.1" 404 647
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:56:26 +0100] "GET /frontoffice/NewFile.html HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:58:53 +0100] "GET /frontoffice/ HTTP/1.1" 404 647
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:59:02 +0100] "GET /frontoffice/NewFile.html HTTP/1.1" 200 2232
0:0:0:0:0:0:0:1 - - [25/Mar/2020:22:06:14 +0100] "GET /frontoffice/ HTTP/1.1" 404 647
0:0:0:0:0:0:0:1 - - [25/Mar/2020:22:06:23 +0100] "GET /frontoffice/NewFile.html HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [25/Mar/2020:22:06:23 +0100] "GET /frontoffice/style.css HTTP/1.1" 404 656
0:0:0:0:0:0:0:1 - - [25/Mar/2020:22:08:22 +0100] "GET /frontoffice/ HTTP/1.1" 404 647
0:0:0:0:0:0:0:1 - - [25/Mar/2020:22:08:33 +0100] "GET /frontoffice/NewFile.html HTTP/1.1" 200 7381
0:0:0:0:0:0:0:1 - - [25/Mar/2020:22:08:33 +0100] "GET /frontoffice/style.css HTTP/1.1" 404 656
0:0:0:0:0:0:0:1 - - [25/Mar/2020:22:09:49 +0100] "GET /frontoffice/ HTTP/1.1" 404 647
0:0:0:0:0:0:0:1 - - [25/Mar/2020:22:09:58 +0100] "GET /frontoffice/NewFile.html HTTP/1.1" 200 7449
0:0:0:0:0:0:0:1 - - [25/Mar/2020:22:09:58 +0100] "GET /frontoffice/style.css HTTP/1.1" 404 656
0:0:0:0:0:0:0:1 - - [25/Mar/2020:22:10:35 +0100] "GET /frontoffice/NewFile.html HTTP/1.1" 200 7449
0:0:0:0:0:0:0:1 - - [25/Mar/2020:22:10:36 +0100] "GET /frontoffice/style.css HTTP/1.1" 404 734
