127.0.0.1 - - [12/May/2020:20:16:11 +0100] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [12/May/2020:20:16:14 +0100] "GET /backoffice/ HTTP/1.1" 200 4075
0:0:0:0:0:0:0:1 - - [12/May/2020:20:16:15 +0100] "GET /backoffice/Images/login.jpg HTTP/1.1" 200 81110
0:0:0:0:0:0:0:1 - - [12/May/2020:20:16:15 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [12/May/2020:20:16:23 +0100] "POST /backoffice/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2020:20:16:23 +0100] "GET /backoffice HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2020:20:16:23 +0100] "GET /backoffice/ HTTP/1.1" 200 4075
0:0:0:0:0:0:0:1 - - [12/May/2020:20:16:31 +0100] "POST /backoffice/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2020:20:16:31 +0100] "GET /backoffice/prive/home HTTP/1.1" 200 4072
0:0:0:0:0:0:0:1 - - [12/May/2020:20:16:31 +0100] "GET /backoffice/JS/1351.js HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [12/May/2020:20:16:31 +0100] "GET /backoffice/Style/MonStyle.css HTTP/1.1" 200 5165
0:0:0:0:0:0:0:1 - - [12/May/2020:20:17:00 +0100] "GET /backoffice/prive/chercherbien HTTP/1.1" 200 10916
0:0:0:0:0:0:0:1 - - [12/May/2020:20:17:00 +0100] "GET /backoffice/JS/ville.js HTTP/1.1" 200 4771
0:0:0:0:0:0:0:1 - - [12/May/2020:20:17:03 +0100] "GET /backoffice/descriptifbien?identifiant=1 HTTP/1.1" 200 16205
0:0:0:0:0:0:0:1 - - [12/May/2020:20:17:03 +0100] "GET /backoffice/JS/slideshow.js HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [12/May/2020:20:17:03 +0100] "GET /backoffice/Style/slideshow.css HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [12/May/2020:20:17:03 +0100] "GET /backoffice/Images/Bien/1/1-1.jpg HTTP/1.1" 200 3718609
0:0:0:0:0:0:0:1 - - [12/May/2020:20:17:03 +0100] "GET /backoffice/Images/Bien/1/1-2.jpg HTTP/1.1" 200 4488626
0:0:0:0:0:0:0:1 - - [12/May/2020:20:17:03 +0100] "GET /backoffice/Images/Bien/1/1-4.jpg HTTP/1.1" 200 2904927
0:0:0:0:0:0:0:1 - - [12/May/2020:20:17:03 +0100] "GET /backoffice/Images/Bien/1/1-3.jpg HTTP/1.1" 200 4075480
0:0:0:0:0:0:0:1 - - [12/May/2020:20:17:11 +0100] "GET /backoffice/prive/chercherbien HTTP/1.1" 200 10916
0:0:0:0:0:0:0:1 - - [12/May/2020:20:17:12 +0100] "GET /backoffice/descriptifbien?identifiant=4 HTTP/1.1" 200 15982
0:0:0:0:0:0:0:1 - - [12/May/2020:20:17:13 +0100] "GET /backoffice/Images/Bien/4/4-1.jpg HTTP/1.1" 200 38210
0:0:0:0:0:0:0:1 - - [12/May/2020:20:17:13 +0100] "GET /backoffice/Images/Bien/4/4-2.jpg HTTP/1.1" 200 46404
0:0:0:0:0:0:0:1 - - [12/May/2020:20:17:13 +0100] "GET /backoffice/Images/Bien/4/4-3.jpg HTTP/1.1" 200 35815
0:0:0:0:0:0:0:1 - - [12/May/2020:20:25:14 +0100] "GET /backoffice/descriptifbien?identifiant=4 HTTP/1.1" 200 15982
0:0:0:0:0:0:0:1 - - [12/May/2020:20:25:14 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [12/May/2020:20:25:20 +0100] "GET /backoffice/modifiebien?idbien=4&descriptif=Villa+moderne+a+Djerba+avec+piscine&idprop=2&rue=Cite+Erriadh&numero=5&codepostal=4180&region=Medenine&delegation=Houmt+Souk&soumission=2020-05-10&disposition=2020-07-16&carac3=Piscine&carac5=Vue+sur+mer&carac9=Maison+intelligente&carac10=Terrasse HTTP/1.1" 500 1104
0:0:0:0:0:0:0:1 - - [12/May/2020:20:25:20 +0100] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/May/2020:20:26:48 +0100] "GET /backoffice/descriptifbien?identifiant=4 HTTP/1.1" 200 15982
0:0:0:0:0:0:0:1 - - [12/May/2020:20:26:48 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [12/May/2020:20:26:54 +0100] "GET /backoffice/modifiebien?idbien=4&descriptif=Villa+moderne+a+Djerba+avec+piscine&idprop=1&rue=Cite+Erriadh&numero=5&codepostal=4180&region=Medenine&delegation=Houmt+Souk&soumission=2020-05-10&disposition=2020-07-16&carac3=Piscine&carac5=Vue+sur+mer&carac10=Terrasse HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2020:20:26:54 +0100] "GET /backoffice/descriptifbien?identifiant=4 HTTP/1.1" 200 15982
0:0:0:0:0:0:0:1 - - [12/May/2020:20:26:59 +0100] "GET /backoffice/modifiebien?idbien=4&descriptif=Villa+moderne+a+Djerba+avec+piscine&idprop=2&rue=Cite+Erriadh&numero=5&codepostal=4180&region=Medenine&delegation=Houmt+Souk&soumission=2020-05-10&disposition=2020-07-16&carac3=Piscine&carac5=Vue+sur+mer&carac10=Terrasse HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2020:20:26:59 +0100] "GET /backoffice/descriptifbien?identifiant=4 HTTP/1.1" 200 15982
