0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:22:14 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:22:16 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:22:16 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:22:17 +0100] "GET /backoffice/home HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:22:42 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:23:00 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:23:00 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:23:00 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:13:23:01 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:38:41 +0100] "GET /backoffice/prive/ajoubien.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:38:41 +0100] "GET /backoffice/login HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:38:41 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:38:43 +0100] "POST /backoffice/login HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:38:45 +0100] "GET /backoffice/home HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:39:42 +0100] "GET /backoffice/home HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:40:32 +0100] "GET /backoffice/home HTTP/1.1" 200 4006
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:40:32 +0100] "GET /backoffice/Styles/HomeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:40:34 +0100] "GET /backoffice/prive/ajoutbien.html HTTP/1.1" 200 7821
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:40:35 +0100] "GET /backoffice/home HTTP/1.1" 200 4006
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:41:40 +0100] "GET /backoffice/home HTTP/1.1" 200 4043
0:0:0:0:0:0:0:1 - - [04/Apr/2020:15:41:40 +0100] "GET /backoffice/Styles/HomeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:20:19:46 +0100] "GET /backoffice/home HTTP/1.1" 200 4043
0:0:0:0:0:0:0:1 - - [04/Apr/2020:20:19:48 +0100] "GET /backoffice/prive/chercheproprietaire.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:20:19:48 +0100] "GET /backoffice/login HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [04/Apr/2020:20:19:49 +0100] "POST /backoffice/login HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [04/Apr/2020:20:19:51 +0100] "GET /backoffice/home HTTP/1.1" 200 4043
0:0:0:0:0:0:0:1 - - [04/Apr/2020:20:28:43 +0100] "GET /backoffice/home HTTP/1.1" 200 4043
0:0:0:0:0:0:0:1 - - [04/Apr/2020:20:28:43 +0100] "GET /backoffice/Styles/HomeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:20:28:46 +0100] "GET /backoffice/prive/ajoutbien.html HTTP/1.1" 200 8423
0:0:0:0:0:0:0:1 - - [04/Apr/2020:20:30:54 +0100] "GET /backoffice/home HTTP/1.1" 200 4043
0:0:0:0:0:0:0:1 - - [04/Apr/2020:20:30:56 +0100] "GET /backoffice/prive/ajoutbien.html HTTP/1.1" 200 8396
0:0:0:0:0:0:0:1 - - [04/Apr/2020:20:33:06 +0100] "GET /backoffice/prive/ajoutbien.html HTTP/1.1" 200 8467
0:0:0:0:0:0:0:1 - - [04/Apr/2020:20:33:06 +0100] "GET /backoffice/Styles/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2020:20:33:08 +0100] "GET /backoffice/prive/ajoutbien.html HTTP/1.1" 304 -
