127.0.0.1 - - [06/May/2020:01:05:08 +0100] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [06/May/2020:01:05:12 +0100] "GET /backoffice/prive/ajouteragent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2020:01:05:12 +0100] "GET /backoffice/;jsessionid=1A10593062211086296DBF704CD94A62 HTTP/1.1" 200 4075
0:0:0:0:0:0:0:1 - - [06/May/2020:01:05:12 +0100] "GET /backoffice/Images/login.jpg HTTP/1.1" 200 81110
0:0:0:0:0:0:0:1 - - [06/May/2020:01:05:12 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [06/May/2020:01:05:20 +0100] "POST /backoffice/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2020:01:05:20 +0100] "GET /backoffice/prive/home HTTP/1.1" 200 4068
0:0:0:0:0:0:0:1 - - [06/May/2020:01:05:20 +0100] "GET /backoffice/1351.js HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [06/May/2020:01:05:20 +0100] "GET /backoffice/Style/MonStyle.css HTTP/1.1" 200 5165
0:0:0:0:0:0:0:1 - - [06/May/2020:01:07:27 +0100] "GET /backoffice/prive/home HTTP/1.1" 200 4068
0:0:0:0:0:0:0:1 - - [06/May/2020:01:07:27 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [06/May/2020:01:07:34 +0100] "GET /backoffice/prive/ajouterbien HTTP/1.1" 200 23278
0:0:0:0:0:0:0:1 - - [06/May/2020:01:07:34 +0100] "GET /backoffice/ville.js HTTP/1.1" 200 4658
0:0:0:0:0:0:0:1 - - [06/May/2020:01:07:42 +0100] "GET /backoffice/prive/chercherbien HTTP/1.1" 200 9496
0:0:0:0:0:0:0:1 - - [06/May/2020:01:07:44 +0100] "GET /backoffice/descriptifbien?identifiant=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/May/2020:01:07:44 +0100] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [06/May/2020:01:08:58 +0100] "GET /backoffice/prive/chercherbien HTTP/1.1" 200 9496
0:0:0:0:0:0:0:1 - - [06/May/2020:01:08:59 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [06/May/2020:01:09:01 +0100] "GET /backoffice/descriptifbien?identifiant=1 HTTP/1.1" 200 5064
0:0:0:0:0:0:0:1 - - [06/May/2020:01:12:02 +0100] "GET /backoffice/descriptifbien?identifiant=1 HTTP/1.1" 200 5311
